command,intent,target_type,attribute,spatial_relation,spatial_reference,position
trash gray button below the settings,delete,button,gray,below,settings,NONE
paste text to the right of the login,paste,text,NONE,right_of,login,NONE
long-press the 2nd green image above the first email,long-press,image,green,above,first email,2nd
tap link below the cart,tap,link,NONE,below,cart,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
scroll to the 1st tab,scroll,tab,NONE,NONE,NONE,1st
select checkbox next to the search,click,checkbox,NONE,next_to,search,NONE
press link,click,link,NONE,NONE,NONE,NONE
paste yellow text to the right of the menu,paste,text,yellow,right_of,menu,NONE
tap on the 1st tab below the notifications,tap,tab,NONE,below,notifications,1st
trash the 2nd yellow image,delete,image,yellow,NONE,NONE,2nd
scroll down to the last tab next to the first email,scroll,tab,NONE,next_to,first email,last
long-press green image to the right of the notifications,long-press,image,green,right_of,notifications,NONE
tap green link above the checkout,tap,link,green,above,checkout,NONE
press and hold purple button,long-press,button,purple,NONE,NONE,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
scroll down to the last orange tab,scroll,tab,orange,NONE,NONE,last
press and hold the 3rd button to the right of the search,long-press,button,NONE,right_of,search,3rd
paste the 2nd black text,paste,text,black,NONE,NONE,2nd
launch the 3rd red icon,open,icon,red,NONE,NONE,3rd
open pink tab above the settings,open,tab,pink,above,settings,NONE
press and hold the 3rd pink image above the profile,long-press,image,pink,above,profile,3rd
tap icon to the left of the address,tap,icon,NONE,left_of,address,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
paste the 2nd yellow text above the last item,paste,text,yellow,above,last item,2nd
paste the 1st text,paste,text,NONE,NONE,NONE,1st
launch button to the right of the first email,open,button,NONE,right_of,first email,NONE
press checkbox below the search,click,checkbox,NONE,below,search,NONE
paste text to the right of the address,paste,text,NONE,right_of,address,NONE
launch black tab next to the payment,open,tab,black,next_to,payment,NONE
copy text above the payment,copy,text,NONE,above,payment,NONE
select link to the right of the profile,click,link,NONE,right_of,profile,NONE
open pink menu,open,menu,pink,NONE,NONE,NONE
launch the 3rd red button below the address,open,button,red,below,address,3rd
launch the 1st red icon next to the profile,open,icon,red,next_to,profile,1st
press and hold the 2nd text,long-press,text,NONE,NONE,NONE,2nd
press and hold button,long-press,button,NONE,NONE,NONE,NONE
scroll to blue tab to the left of the checkout,scroll,tab,blue,left_of,checkout,NONE
press the last blue tab to the left of the payment,click,tab,blue,left_of,payment,last
trash yellow image next to the wi-fi,delete,image,yellow,next_to,wi-fi,NONE
click button to the left of the login,click,button,NONE,left_of,login,NONE
open green link to the right of the settings,open,link,green,right_of,settings,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
launch menu,open,menu,NONE,NONE,NONE,NONE
tap orange tab,tap,tab,orange,NONE,NONE,NONE
press and hold red icon,long-press,icon,red,NONE,NONE,NONE
press image above the search,click,image,NONE,above,search,NONE
delete text above the profile,delete,text,NONE,above,profile,NONE
copy the 3rd black text to the left of the cart,copy,text,black,left_of,cart,3rd
paste the 1st text to the right of the login,paste,text,NONE,right_of,login,1st
launch button,open,button,NONE,NONE,NONE,NONE
paste text above the cart,paste,text,NONE,above,cart,NONE
tap on the 3rd blue checkbox to the left of the address,tap,checkbox,blue,left_of,address,3rd
remove button next to the first email,delete,button,NONE,next_to,first email,NONE
copy the 1st black text,copy,text,black,NONE,NONE,1st
paste pink text below the last item,paste,text,pink,below,last item,NONE
select black link above the search,click,link,black,above,search,NONE
launch button to the left of the wi-fi,open,button,NONE,left_of,wi-fi,NONE
click orange link above the menu,click,link,orange,above,menu,NONE
scroll down to the 2nd text,scroll,text,NONE,NONE,NONE,2nd
delete text above the address,delete,text,NONE,above,address,NONE
scroll to menu to the left of the checkout,scroll,menu,NONE,left_of,checkout,NONE
long-press orange button,long-press,button,orange,NONE,NONE,NONE
tap gray switch to the right of the search,tap,switch,gray,right_of,search,NONE
copy the 2nd pink text next to the last item,copy,text,pink,next_to,last item,2nd
press and hold green icon to the left of the login,long-press,icon,green,left_of,login,NONE
long-press button next to the payment,long-press,button,NONE,next_to,payment,NONE
tap on tab to the right of the home,tap,tab,NONE,right_of,home,NONE
open the 2nd blue tab,open,tab,blue,NONE,NONE,2nd
copy red text next to the home,copy,text,red,next_to,home,NONE
click on yellow image,click,image,yellow,NONE,NONE,NONE
long-press purple button to the left of the first email,long-press,button,purple,left_of,first email,NONE
long-press the 3rd button above the last item,long-press,button,NONE,above,last item,3rd
scroll down to tab to the left of the login,scroll,tab,NONE,left_of,login,NONE
copy the 2nd blue text above the checkout,copy,text,blue,above,checkout,2nd
delete text,delete,text,NONE,NONE,NONE,NONE
scroll to text to the right of the payment,scroll,text,NONE,right_of,payment,NONE
tap link,tap,link,NONE,NONE,NONE,NONE
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE
scroll down to text to the right of the profile,scroll,text,NONE,right_of,profile,NONE
scroll down to text to the right of the first email,scroll,text,NONE,right_of,first email,NONE
tap switch to the left of the last item,tap,switch,NONE,left_of,last item,NONE
paste text to the right of the wi-fi,paste,text,NONE,right_of,wi-fi,NONE
click checkbox below the first email,click,checkbox,NONE,below,first email,NONE
delete button next to the home,delete,button,NONE,next_to,home,NONE
press and hold the 1st text,long-press,text,NONE,NONE,NONE,1st
tap on blue button to the left of the cart,tap,button,blue,left_of,cart,NONE
click on text above the cart,click,text,NONE,above,cart,NONE
trash text to the right of the search,delete,text,NONE,right_of,search,NONE
delete button,delete,button,NONE,NONE,NONE,NONE
paste red text next to the settings,paste,text,red,next_to,settings,NONE
copy text next to the profile,copy,text,NONE,next_to,profile,NONE
open link to the left of the first email,open,link,NONE,left_of,first email,NONE
select orange icon,click,icon,orange,NONE,NONE,NONE
launch icon to the left of the menu,open,icon,NONE,left_of,menu,NONE
trash image to the right of the payment,delete,image,NONE,right_of,payment,NONE
click blue checkbox,click,checkbox,blue,NONE,NONE,NONE
long-press icon,long-press,icon,NONE,NONE,NONE,NONE
press the 3rd text,click,text,NONE,NONE,NONE,3rd
launch icon,open,icon,NONE,NONE,NONE,NONE
open icon below the first email,open,icon,NONE,below,first email,NONE
long-press image to the right of the home,long-press,image,NONE,right_of,home,NONE
paste yellow text next to the search,paste,text,yellow,next_to,search,NONE
paste text to the left of the notifications,paste,text,NONE,left_of,notifications,NONE
launch pink icon to the right of the profile,open,icon,pink,right_of,profile,NONE
scroll to green text,scroll,text,green,NONE,NONE,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
open icon,open,icon,NONE,NONE,NONE,NONE
open pink tab to the right of the checkout,open,tab,pink,right_of,checkout,NONE
scroll to tab,scroll,tab,NONE,NONE,NONE,NONE
trash pink button below the profile,delete,button,pink,below,profile,NONE
long-press the last gray text below the notifications,long-press,text,gray,below,notifications,last
paste the 3rd text,paste,text,NONE,NONE,NONE,3rd
select link to the left of the notifications,click,link,NONE,left_of,notifications,NONE
launch green link,open,link,green,NONE,NONE,NONE
launch menu below the profile,open,menu,NONE,below,profile,NONE
remove button,delete,button,NONE,NONE,NONE,NONE
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE
scroll to the last menu,scroll,menu,NONE,NONE,NONE,last
launch button next to the profile,open,button,NONE,next_to,profile,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
delete text,delete,text,NONE,NONE,NONE,NONE
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE
paste the 3rd purple text next to the last item,paste,text,purple,next_to,last item,3rd
scroll to menu above the settings,scroll,menu,NONE,above,settings,NONE
copy text below the wi-fi,copy,text,NONE,below,wi-fi,NONE
scroll down to the 1st menu next to the menu,scroll,menu,NONE,next_to,menu,1st
tap on green icon above the profile,tap,icon,green,above,profile,NONE
copy text to the right of the home,copy,text,NONE,right_of,home,NONE
press switch next to the address,click,switch,NONE,next_to,address,NONE
long-press blue button to the right of the checkout,long-press,button,blue,right_of,checkout,NONE
paste text to the left of the last item,paste,text,NONE,left_of,last item,NONE
copy the 3rd orange text,copy,text,orange,NONE,NONE,3rd
open button above the menu,open,button,NONE,above,menu,NONE
paste text next to the home,paste,text,NONE,next_to,home,NONE
copy blue text to the right of the home,copy,text,blue,right_of,home,NONE
tap blue link below the search,tap,link,blue,below,search,NONE
copy text to the left of the address,copy,text,NONE,left_of,address,NONE
remove image to the left of the last item,delete,image,NONE,left_of,last item,NONE
long-press pink icon,long-press,icon,pink,NONE,NONE,NONE
tap on tab below the payment,tap,tab,NONE,below,payment,NONE
copy text below the help,copy,text,NONE,below,help,NONE
long-press black text,long-press,text,black,NONE,NONE,NONE
tap on orange switch below the settings,tap,switch,orange,below,settings,NONE
tap on link above the help,tap,link,NONE,above,help,NONE
open tab,open,tab,NONE,NONE,NONE,NONE
tap on purple link to the left of the home,tap,link,purple,left_of,home,NONE
open pink icon,open,icon,pink,NONE,NONE,NONE
trash image below the profile,delete,image,NONE,below,profile,NONE
tap pink link to the left of the payment,tap,link,pink,left_of,payment,NONE
copy text below the address,copy,text,NONE,below,address,NONE
tap button,tap,button,NONE,NONE,NONE,NONE
remove button,delete,button,NONE,NONE,NONE,NONE
long-press text above the first email,long-press,text,NONE,above,first email,NONE
click on black switch,click,switch,black,NONE,NONE,NONE
launch link to the right of the home,open,link,NONE,right_of,home,NONE
copy the 2nd text to the right of the menu,copy,text,NONE,right_of,menu,2nd
copy the 1st purple text next to the search,copy,text,purple,next_to,search,1st
scroll to text,scroll,text,NONE,NONE,NONE,NONE
delete image to the left of the profile,delete,image,NONE,left_of,profile,NONE
press and hold white button next to the login,long-press,button,white,next_to,login,NONE
delete the last button next to the cart,delete,button,NONE,next_to,cart,last
click on the 1st black link next to the settings,click,link,black,next_to,settings,1st
open tab to the left of the login,open,tab,NONE,left_of,login,NONE
launch white menu,open,menu,white,NONE,NONE,NONE
press image,click,image,NONE,NONE,NONE,NONE
delete purple image above the cart,delete,image,purple,above,cart,NONE
click on button to the left of the login,click,button,NONE,left_of,login,NONE
copy the 3rd gray text to the left of the last item,copy,text,gray,left_of,last item,3rd
click black link to the right of the home,click,link,black,right_of,home,NONE
paste yellow text to the right of the cart,paste,text,yellow,right_of,cart,NONE
copy text to the left of the cart,copy,text,NONE,left_of,cart,NONE
scroll to menu below the home,scroll,menu,NONE,below,home,NONE
press icon,click,icon,NONE,NONE,NONE,NONE
trash image,delete,image,NONE,NONE,NONE,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
paste text above the menu,paste,text,NONE,above,menu,NONE
launch the last tab,open,tab,NONE,NONE,NONE,last
trash text,delete,text,NONE,NONE,NONE,NONE
launch the 2nd tab above the payment,open,tab,NONE,above,payment,2nd
launch the 2nd tab below the home,open,tab,NONE,below,home,2nd
copy the 2nd purple text below the cart,copy,text,purple,below,cart,2nd
paste text to the right of the profile,paste,text,NONE,right_of,profile,NONE
tap icon,tap,icon,NONE,NONE,NONE,NONE
scroll down to the 3rd green menu above the search,scroll,menu,green,above,search,3rd
press the last green switch below the profile,click,switch,green,below,profile,last
press and hold icon above the cart,long-press,icon,NONE,above,cart,NONE
remove the 2nd gray image below the wi-fi,delete,image,gray,below,wi-fi,2nd
long-press orange text above the login,long-press,text,orange,above,login,NONE
paste yellow text,paste,text,yellow,NONE,NONE,NONE
open menu to the right of the payment,open,menu,NONE,right_of,payment,NONE
remove red image next to the help,delete,image,red,next_to,help,NONE
open tab next to the notifications,open,tab,NONE,next_to,notifications,NONE
paste the 1st text to the right of the address,paste,text,NONE,right_of,address,1st
long-press purple text,long-press,text,purple,NONE,NONE,NONE
scroll to the 2nd gray tab above the address,scroll,tab,gray,above,address,2nd
paste blue text below the address,paste,text,blue,below,address,NONE
paste text next to the wi-fi,paste,text,NONE,next_to,wi-fi,NONE
paste text to the right of the home,paste,text,NONE,right_of,home,NONE
open orange tab next to the cart,open,tab,orange,next_to,cart,NONE
remove purple button above the first email,delete,button,purple,above,first email,NONE
press and hold the 3rd yellow button,long-press,button,yellow,NONE,NONE,3rd
remove image below the notifications,delete,image,NONE,below,notifications,NONE
press icon to the right of the cart,click,icon,NONE,right_of,cart,NONE
long-press icon,long-press,icon,NONE,NONE,NONE,NONE
tap link above the settings,tap,link,NONE,above,settings,NONE
copy yellow text to the right of the menu,copy,text,yellow,right_of,menu,NONE
copy text to the left of the home,copy,text,NONE,left_of,home,NONE
open menu to the right of the wi-fi,open,menu,NONE,right_of,wi-fi,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
paste gray text,paste,text,gray,NONE,NONE,NONE
tap switch next to the help,tap,switch,NONE,next_to,help,NONE
launch link to the right of the settings,open,link,NONE,right_of,settings,NONE
press and hold button,long-press,button,NONE,NONE,NONE,NONE
launch the last red menu to the right of the first email,open,menu,red,right_of,first email,last
delete button below the menu,delete,button,NONE,below,menu,NONE
press and hold text below the profile,long-press,text,NONE,below,profile,NONE
copy the last text to the left of the menu,copy,text,NONE,left_of,menu,last
click on icon to the left of the payment,click,icon,NONE,left_of,payment,NONE
scroll to menu below the home,scroll,menu,NONE,below,home,NONE
press and hold the last icon,long-press,icon,NONE,NONE,NONE,last
tap red button next to the menu,tap,button,red,next_to,menu,NONE
trash the 1st gray button,delete,button,gray,NONE,NONE,1st
tap on button above the wi-fi,tap,button,NONE,above,wi-fi,NONE
scroll to gray tab,scroll,tab,gray,NONE,NONE,NONE
press and hold the 2nd image next to the profile,long-press,image,NONE,next_to,profile,2nd
tap on link next to the help,tap,link,NONE,next_to,help,NONE
trash text next to the wi-fi,delete,text,NONE,next_to,wi-fi,NONE
paste the 2nd text below the search,paste,text,NONE,below,search,2nd
copy text to the right of the profile,copy,text,NONE,right_of,profile,NONE
long-press text,long-press,text,NONE,NONE,NONE,NONE
select switch,click,switch,NONE,NONE,NONE,NONE
trash text to the right of the checkout,delete,text,NONE,right_of,checkout,NONE
copy the 2nd red text above the login,copy,text,red,above,login,2nd
scroll down to text to the left of the profile,scroll,text,NONE,left_of,profile,NONE
long-press button,long-press,button,NONE,NONE,NONE,NONE
copy the 3rd text,copy,text,NONE,NONE,NONE,3rd
delete text below the home,delete,text,NONE,below,home,NONE
remove the 1st button above the search,delete,button,NONE,above,search,1st
paste the 3rd text below the notifications,paste,text,NONE,below,notifications,3rd
copy the 1st text to the right of the first email,copy,text,NONE,right_of,first email,1st
tap red link to the left of the first email,tap,link,red,left_of,first email,NONE
launch the 3rd menu to the right of the settings,open,menu,NONE,right_of,settings,3rd
press and hold pink text next to the address,long-press,text,pink,next_to,address,NONE
copy text to the left of the cart,copy,text,NONE,left_of,cart,NONE
launch the 2nd pink icon to the left of the wi-fi,open,icon,pink,left_of,wi-fi,2nd
scroll down to tab to the right of the home,scroll,tab,NONE,right_of,home,NONE
tap button,tap,button,NONE,NONE,NONE,NONE
tap on button below the home,tap,button,NONE,below,home,NONE
paste text to the right of the address,paste,text,NONE,right_of,address,NONE
copy the 3rd text next to the profile,copy,text,NONE,next_to,profile,3rd
remove the last image next to the last item,delete,image,NONE,next_to,last item,last
copy the 3rd orange text below the home,copy,text,orange,below,home,3rd
tap on switch to the left of the menu,tap,switch,NONE,left_of,menu,NONE
scroll down to menu to the left of the payment,scroll,menu,NONE,left_of,payment,NONE
remove the 2nd text,delete,text,NONE,NONE,NONE,2nd
long-press image to the right of the settings,long-press,image,NONE,right_of,settings,NONE
open tab,open,tab,NONE,NONE,NONE,NONE
scroll to purple text,scroll,text,purple,NONE,NONE,NONE
copy blue text,copy,text,blue,NONE,NONE,NONE
launch the last tab to the right of the notifications,open,tab,NONE,right_of,notifications,last
scroll to green tab,scroll,tab,green,NONE,NONE,NONE
trash the 2nd gray text to the right of the notifications,delete,text,gray,right_of,notifications,2nd
delete orange button,delete,button,orange,NONE,NONE,NONE
launch white icon above the cart,open,icon,white,above,cart,NONE
open the 1st tab to the right of the checkout,open,tab,NONE,right_of,checkout,1st
remove yellow button,delete,button,yellow,NONE,NONE,NONE
delete button,delete,button,NONE,NONE,NONE,NONE
remove gray image below the settings,delete,image,gray,below,settings,NONE
press and hold the 2nd button,long-press,button,NONE,NONE,NONE,2nd
click on the 2nd blue image to the left of the settings,click,image,blue,left_of,settings,2nd
scroll to pink menu to the right of the search,scroll,menu,pink,right_of,search,NONE
copy the 1st purple text above the settings,copy,text,purple,above,settings,1st
press and hold image,long-press,image,NONE,NONE,NONE,NONE
tap icon below the wi-fi,tap,icon,NONE,below,wi-fi,NONE
select button,click,button,NONE,NONE,NONE,NONE
copy the last text to the right of the settings,copy,text,NONE,right_of,settings,last
remove text to the right of the address,delete,text,NONE,right_of,address,NONE
long-press text,long-press,text,NONE,NONE,NONE,NONE
tap on purple checkbox,tap,checkbox,purple,NONE,NONE,NONE
scroll to the 1st menu to the left of the checkout,scroll,menu,NONE,left_of,checkout,1st
remove blue image,delete,image,blue,NONE,NONE,NONE
scroll down to the 2nd green tab below the cart,scroll,tab,green,below,cart,2nd
copy pink text,copy,text,pink,NONE,NONE,NONE
paste green text above the payment,paste,text,green,above,payment,NONE
launch the 3rd link,open,link,NONE,NONE,NONE,3rd
tap on the 2nd black link to the right of the notifications,tap,link,black,right_of,notifications,2nd
copy green text,copy,text,green,NONE,NONE,NONE
delete button,delete,button,NONE,NONE,NONE,NONE
scroll to green menu next to the payment,scroll,menu,green,next_to,payment,NONE
click on the 1st purple link to the left of the help,click,link,purple,left_of,help,1st
long-press the 3rd pink image,long-press,image,pink,NONE,NONE,3rd
copy text to the left of the settings,copy,text,NONE,left_of,settings,NONE
copy gray text,copy,text,gray,NONE,NONE,NONE
delete purple button,delete,button,purple,NONE,NONE,NONE
paste the 3rd text,paste,text,NONE,NONE,NONE,3rd
copy text to the left of the address,copy,text,NONE,left_of,address,NONE
launch menu to the right of the checkout,open,menu,NONE,right_of,checkout,NONE
click link,click,link,NONE,NONE,NONE,NONE
long-press button,long-press,button,NONE,NONE,NONE,NONE
delete black text to the right of the checkout,delete,text,black,right_of,checkout,NONE
launch purple menu to the right of the settings,open,menu,purple,right_of,settings,NONE
press and hold blue text,long-press,text,blue,NONE,NONE,NONE
long-press icon to the left of the profile,long-press,icon,NONE,left_of,profile,NONE
tap switch below the settings,tap,switch,NONE,below,settings,NONE
long-press yellow text to the left of the last item,long-press,text,yellow,left_of,last item,NONE
delete image,delete,image,NONE,NONE,NONE,NONE
launch the 3rd red link next to the notifications,open,link,red,next_to,notifications,3rd
copy the 2nd text above the search,copy,text,NONE,above,search,2nd
click button,click,button,NONE,NONE,NONE,NONE
remove text above the payment,delete,text,NONE,above,payment,NONE
tap on green switch,tap,switch,green,NONE,NONE,NONE
tap black switch next to the settings,tap,switch,black,next_to,settings,NONE
copy text next to the search,copy,text,NONE,next_to,search,NONE
paste orange text,paste,text,orange,NONE,NONE,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
scroll down to menu below the address,scroll,menu,NONE,below,address,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
scroll to text next to the login,scroll,text,NONE,next_to,login,NONE
press the 3rd orange switch to the left of the payment,click,switch,orange,left_of,payment,3rd
remove the last yellow image,delete,image,yellow,NONE,NONE,last
copy black text,copy,text,black,NONE,NONE,NONE
remove button,delete,button,NONE,NONE,NONE,NONE
tap button,tap,button,NONE,NONE,NONE,NONE
open the 1st button next to the search,open,button,NONE,next_to,search,1st
copy the 2nd orange text,copy,text,orange,NONE,NONE,2nd
scroll to tab to the right of the first email,scroll,tab,NONE,right_of,first email,NONE
copy white text next to the profile,copy,text,white,next_to,profile,NONE
press and hold purple button next to the settings,long-press,button,purple,next_to,settings,NONE
tap on tab,tap,tab,NONE,NONE,NONE,NONE
scroll to text,scroll,text,NONE,NONE,NONE,NONE
scroll to the 3rd tab to the right of the first email,scroll,tab,NONE,right_of,first email,3rd
copy text,copy,text,NONE,NONE,NONE,NONE
launch purple menu,open,menu,purple,NONE,NONE,NONE
paste red text above the help,paste,text,red,above,help,NONE
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE
open the 1st button,open,button,NONE,NONE,NONE,1st
click switch below the help,click,switch,NONE,below,help,NONE
scroll down to the 2nd menu below the last item,scroll,menu,NONE,below,last item,2nd
trash text,delete,text,NONE,NONE,NONE,NONE
open button to the left of the address,open,button,NONE,left_of,address,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
launch button,open,button,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
long-press icon below the profile,long-press,icon,NONE,below,profile,NONE
copy the 1st text,copy,text,NONE,NONE,NONE,1st
trash purple image to the left of the search,delete,image,purple,left_of,search,NONE
scroll to the 2nd tab to the right of the profile,scroll,tab,NONE,right_of,profile,2nd
trash button to the left of the notifications,delete,button,NONE,left_of,notifications,NONE
press and hold icon above the wi-fi,long-press,icon,NONE,above,wi-fi,NONE
open the 3rd green icon next to the help,open,icon,green,next_to,help,3rd
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd
paste text below the home,paste,text,NONE,below,home,NONE
scroll to text,scroll,text,NONE,NONE,NONE,NONE
copy text to the left of the wi-fi,copy,text,NONE,left_of,wi-fi,NONE
remove the 3rd button,delete,button,NONE,NONE,NONE,3rd
long-press the 2nd icon above the settings,long-press,icon,NONE,above,settings,2nd
copy text above the checkout,copy,text,NONE,above,checkout,NONE
scroll down to the last tab next to the payment,scroll,tab,NONE,next_to,payment,last
scroll to pink text to the right of the notifications,scroll,text,pink,right_of,notifications,NONE
launch yellow icon next to the menu,open,icon,yellow,next_to,menu,NONE
scroll down to orange menu,scroll,menu,orange,NONE,NONE,NONE
delete red button above the checkout,delete,button,red,above,checkout,NONE
scroll down to gray menu,scroll,menu,gray,NONE,NONE,NONE
press and hold the 2nd button,long-press,button,NONE,NONE,NONE,2nd
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd
press the 1st switch below the payment,click,switch,NONE,below,payment,1st
press checkbox,click,checkbox,NONE,NONE,NONE,NONE
open blue button next to the checkout,open,button,blue,next_to,checkout,NONE
long-press the last yellow text to the right of the login,long-press,text,yellow,right_of,login,last
launch tab above the last item,open,tab,NONE,above,last item,NONE
press and hold the 2nd text below the address,long-press,text,NONE,below,address,2nd
trash the 3rd black button to the right of the cart,delete,button,black,right_of,cart,3rd
open the 3rd icon,open,icon,NONE,NONE,NONE,3rd
tap the 1st link below the home,tap,link,NONE,below,home,1st
paste text to the left of the help,paste,text,NONE,left_of,help,NONE
select blue tab,click,tab,blue,NONE,NONE,NONE
copy text above the help,copy,text,NONE,above,help,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
tap on tab,tap,tab,NONE,NONE,NONE,NONE
select button next to the login,click,button,NONE,next_to,login,NONE
press and hold the 1st icon,long-press,icon,NONE,NONE,NONE,1st
trash the 2nd image above the search,delete,image,NONE,above,search,2nd
press and hold the 1st icon,long-press,icon,NONE,NONE,NONE,1st
press checkbox to the right of the address,click,checkbox,NONE,right_of,address,NONE
long-press the 1st text below the settings,long-press,text,NONE,below,settings,1st
copy the 1st text,copy,text,NONE,NONE,NONE,1st
launch tab,open,tab,NONE,NONE,NONE,NONE
scroll to menu to the left of the payment,scroll,menu,NONE,left_of,payment,NONE
tap pink icon,tap,icon,pink,NONE,NONE,NONE
tap on icon to the left of the cart,tap,icon,NONE,left_of,cart,NONE
press and hold the 2nd image,long-press,image,NONE,NONE,NONE,2nd
copy text,copy,text,NONE,NONE,NONE,NONE
scroll to red text,scroll,text,red,NONE,NONE,NONE
tap the 1st purple tab above the help,tap,tab,purple,above,help,1st
scroll to green text,scroll,text,green,NONE,NONE,NONE
long-press text above the settings,long-press,text,NONE,above,settings,NONE
copy text next to the login,copy,text,NONE,next_to,login,NONE
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd
paste gray text,paste,text,gray,NONE,NONE,NONE
copy text above the settings,copy,text,NONE,above,settings,NONE
long-press icon,long-press,icon,NONE,NONE,NONE,NONE
delete the 3rd button,delete,button,NONE,NONE,NONE,3rd
click the last link,click,link,NONE,NONE,NONE,last
open orange tab to the left of the notifications,open,tab,orange,left_of,notifications,NONE
select link below the login,click,link,NONE,below,login,NONE
launch link,open,link,NONE,NONE,NONE,NONE
remove text,delete,text,NONE,NONE,NONE,NONE
press and hold button above the checkout,long-press,button,NONE,above,checkout,NONE
copy the 3rd text,copy,text,NONE,NONE,NONE,3rd
long-press gray icon to the right of the help,long-press,icon,gray,right_of,help,NONE
paste orange text above the last item,paste,text,orange,above,last item,NONE
scroll down to black menu to the right of the checkout,scroll,menu,black,right_of,checkout,NONE
tap on the 3rd pink button below the home,tap,button,pink,below,home,3rd
copy text,copy,text,NONE,NONE,NONE,NONE
press switch to the right of the wi-fi,click,switch,NONE,right_of,wi-fi,NONE
paste the last text next to the address,paste,text,NONE,next_to,address,last
click purple link,click,link,purple,NONE,NONE,NONE
tap on tab,tap,tab,NONE,NONE,NONE,NONE
open icon to the left of the search,open,icon,NONE,left_of,search,NONE
delete gray button to the left of the payment,delete,button,gray,left_of,payment,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
paste text to the left of the menu,paste,text,NONE,left_of,menu,NONE
click on the 3rd link to the right of the menu,click,link,NONE,right_of,menu,3rd
press and hold the last button,long-press,button,NONE,NONE,NONE,last
long-press white button to the left of the notifications,long-press,button,white,left_of,notifications,NONE
paste yellow text,paste,text,yellow,NONE,NONE,NONE
paste text to the left of the home,paste,text,NONE,left_of,home,NONE
scroll to text,scroll,text,NONE,NONE,NONE,NONE
open gray link,open,link,gray,NONE,NONE,NONE
click the 1st black switch next to the help,click,switch,black,next_to,help,1st
launch the 1st link,open,link,NONE,NONE,NONE,1st
tap on the 1st tab,tap,tab,NONE,NONE,NONE,1st
tap on switch,tap,switch,NONE,NONE,NONE,NONE
paste the last gray text to the left of the profile,paste,text,gray,left_of,profile,last
press the 1st white text to the left of the menu,click,text,white,left_of,menu,1st
delete the last black image,delete,image,black,NONE,NONE,last
copy the 2nd text below the menu,copy,text,NONE,below,menu,2nd
paste text,paste,text,NONE,NONE,NONE,NONE
scroll to the 3rd gray menu to the right of the settings,scroll,menu,gray,right_of,settings,3rd
paste white text below the home,paste,text,white,below,home,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
press and hold the last image,long-press,image,NONE,NONE,NONE,last
launch link to the right of the notifications,open,link,NONE,right_of,notifications,NONE
copy black text,copy,text,black,NONE,NONE,NONE
copy the 2nd red text to the right of the home,copy,text,red,right_of,home,2nd
copy text to the right of the checkout,copy,text,NONE,right_of,checkout,NONE
select red button below the search,click,button,red,below,search,NONE
scroll to yellow menu above the first email,scroll,menu,yellow,above,first email,NONE
paste black text next to the wi-fi,paste,text,black,next_to,wi-fi,NONE
delete text,delete,text,NONE,NONE,NONE,NONE
click on pink image below the login,click,image,pink,below,login,NONE
long-press icon,long-press,icon,NONE,NONE,NONE,NONE
launch button,open,button,NONE,NONE,NONE,NONE
press purple link next to the payment,click,link,purple,next_to,payment,NONE
trash button to the left of the settings,delete,button,NONE,left_of,settings,NONE
paste orange text next to the home,paste,text,orange,next_to,home,NONE
copy text to the left of the cart,copy,text,NONE,left_of,cart,NONE
copy text above the last item,copy,text,NONE,above,last item,NONE
click on yellow icon,click,icon,yellow,NONE,NONE,NONE
open the 3rd tab,open,tab,NONE,NONE,NONE,3rd
tap on yellow button,tap,button,yellow,NONE,NONE,NONE
open the 3rd button below the help,open,button,NONE,below,help,3rd
press the 2nd black button next to the checkout,click,button,black,next_to,checkout,2nd
tap the 1st orange tab,tap,tab,orange,NONE,NONE,1st
long-press the 1st image next to the payment,long-press,image,NONE,next_to,payment,1st
tap on the 3rd tab below the profile,tap,tab,NONE,below,profile,3rd
paste red text below the wi-fi,paste,text,red,below,wi-fi,NONE
press and hold the 2nd icon below the home,long-press,icon,NONE,below,home,2nd
copy text next to the checkout,copy,text,NONE,next_to,checkout,NONE
launch tab below the search,open,tab,NONE,below,search,NONE
