command,intent,target_type,attribute,spatial_relation,spatial_reference,position,intent_id,target_type_id,attribute_id,spatial_relation_id,position_id
press and hold text below the profile,long-press,text,NONE,below,profile,NONE,4,9,0,2,3
copy the last text to the left of the menu,copy,text,NONE,left_of,menu,last,2,9,0,3,4
click on icon to the left of the payment,click,icon,NONE,left_of,payment,NONE,1,3,0,3,3
scroll to menu below the home,scroll,menu,NONE,below,home,NONE,7,6,0,2,3
press and hold the last icon,long-press,icon,NONE,NONE,NONE,last,4,3,0,0,4
tap red button next to the menu,tap,button,red,next_to,menu,NONE,8,1,8,4,3
trash the 1st gray button,delete,button,gray,NONE,NONE,1st,3,1,3,0,0
tap on button above the wi-fi,tap,button,NONE,above,wi-fi,NONE,8,1,0,1,3
scroll to gray tab,scroll,tab,gray,NONE,NONE,NONE,7,8,3,0,3
press and hold the 2nd image next to the profile,long-press,image,NONE,next_to,profile,2nd,4,4,0,4,1
tap on link next to the help,tap,link,NONE,next_to,help,NONE,8,5,0,4,3
trash text next to the wi-fi,delete,text,NONE,next_to,wi-fi,NONE,3,9,0,4,3
paste the 2nd text below the search,paste,text,NONE,below,search,2nd,6,9,0,2,1
copy text to the right of the profile,copy,text,NONE,right_of,profile,NONE,2,9,0,5,3
long-press text,long-press,text,NONE,NONE,NONE,NONE,4,9,0,0,3
select switch,click,switch,NONE,NONE,NONE,NONE,1,7,0,0,3
trash text to the right of the checkout,delete,text,NONE,right_of,checkout,NONE,3,9,0,5,3
copy the 2nd red text above the login,copy,text,red,above,login,2nd,2,9,8,1,1
scroll down to text to the left of the profile,scroll,text,NONE,left_of,profile,NONE,7,9,0,3,3
long-press button,long-press,button,NONE,NONE,NONE,NONE,4,1,0,0,3
copy the 3rd text,copy,text,NONE,NONE,NONE,3rd,2,9,0,0,2
delete text below the home,delete,text,NONE,below,home,NONE,3,9,0,2,3
remove the 1st button above the search,delete,button,NONE,above,search,1st,3,1,0,1,0
paste the 3rd text below the notifications,paste,text,NONE,below,notifications,3rd,6,9,0,2,2
copy the 1st text to the right of the first email,copy,text,NONE,right_of,first email,1st,2,9,0,5,0
tap red link to the left of the first email,tap,link,red,left_of,first email,NONE,8,5,8,3,3
launch the 3rd menu to the right of the settings,open,menu,NONE,right_of,settings,3rd,5,6,0,5,2
press and hold pink text next to the address,long-press,text,pink,next_to,address,NONE,4,9,6,4,3
copy text to the left of the cart,copy,text,NONE,left_of,cart,NONE,2,9,0,3,3
launch the 2nd pink icon to the left of the wi-fi,open,icon,pink,left_of,wi-fi,2nd,5,3,6,3,1
scroll down to tab to the right of the home,scroll,tab,NONE,right_of,home,NONE,7,8,0,5,3
tap button,tap,button,NONE,NONE,NONE,NONE,8,1,0,0,3
tap on button below the home,tap,button,NONE,below,home,NONE,8,1,0,2,3
paste text to the right of the address,paste,text,NONE,right_of,address,NONE,6,9,0,5,3
copy the 3rd text next to the profile,copy,text,NONE,next_to,profile,3rd,2,9,0,4,2
remove the last image next to the last item,delete,image,NONE,next_to,last item,last,3,4,0,4,4
copy the 3rd orange text below the home,copy,text,orange,below,home,3rd,2,9,5,2,2
tap on switch to the left of the menu,tap,switch,NONE,left_of,menu,NONE,8,7,0,3,3
scroll down to menu to the left of the payment,scroll,menu,NONE,left_of,payment,NONE,7,6,0,3,3
remove the 2nd text,delete,text,NONE,NONE,NONE,2nd,3,9,0,0,1
long-press image to the right of the settings,long-press,image,NONE,right_of,settings,NONE,4,4,0,5,3
open tab,open,tab,NONE,NONE,NONE,NONE,5,8,0,0,3
scroll to purple text,scroll,text,purple,NONE,NONE,NONE,7,9,7,0,3
copy blue text,copy,text,blue,NONE,NONE,NONE,2,9,2,0,3
launch the last tab to the right of the notifications,open,tab,NONE,right_of,notifications,last,5,8,0,5,4
scroll to green tab,scroll,tab,green,NONE,NONE,NONE,7,8,4,0,3
trash the 2nd gray text to the right of the notifications,delete,text,gray,right_of,notifications,2nd,3,9,3,5,1
delete orange button,delete,button,orange,NONE,NONE,NONE,3,1,5,0,3
launch white icon above the cart,open,icon,white,above,cart,NONE,5,3,9,1,3
open the 1st tab to the right of the checkout,open,tab,NONE,right_of,checkout,1st,5,8,0,5,0
remove yellow button,delete,button,yellow,NONE,NONE,NONE,3,1,10,0,3
delete button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
remove gray image below the settings,delete,image,gray,below,settings,NONE,3,4,3,2,3
press and hold the 2nd button,long-press,button,NONE,NONE,NONE,2nd,4,1,0,0,1
click on the 2nd blue image to the left of the settings,click,image,blue,left_of,settings,2nd,1,4,2,3,1
scroll to pink menu to the right of the search,scroll,menu,pink,right_of,search,NONE,7,6,6,5,3
copy the 1st purple text above the settings,copy,text,purple,above,settings,1st,2,9,7,1,0
press and hold image,long-press,image,NONE,NONE,NONE,NONE,4,4,0,0,3
tap icon below the wi-fi,tap,icon,NONE,below,wi-fi,NONE,8,3,0,2,3
select button,click,button,NONE,NONE,NONE,NONE,1,1,0,0,3
copy the last text to the right of the settings,copy,text,NONE,right_of,settings,last,2,9,0,5,4
remove text to the right of the address,delete,text,NONE,right_of,address,NONE,3,9,0,5,3
long-press text,long-press,text,NONE,NONE,NONE,NONE,4,9,0,0,3
tap on purple checkbox,tap,checkbox,purple,NONE,NONE,NONE,8,2,7,0,3
scroll to the 1st menu to the left of the checkout,scroll,menu,NONE,left_of,checkout,1st,7,6,0,3,0
remove blue image,delete,image,blue,NONE,NONE,NONE,3,4,2,0,3
scroll down to the 2nd green tab below the cart,scroll,tab,green,below,cart,2nd,7,8,4,2,1
copy pink text,copy,text,pink,NONE,NONE,NONE,2,9,6,0,3
paste green text above the payment,paste,text,green,above,payment,NONE,6,9,4,1,3
launch the 3rd link,open,link,NONE,NONE,NONE,3rd,5,5,0,0,2
tap on the 2nd black link to the right of the notifications,tap,link,black,right_of,notifications,2nd,8,5,1,5,1
copy green text,copy,text,green,NONE,NONE,NONE,2,9,4,0,3
delete button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
scroll to green menu next to the payment,scroll,menu,green,next_to,payment,NONE,7,6,4,4,3
click on the 1st purple link to the left of the help,click,link,purple,left_of,help,1st,1,5,7,3,0
long-press the 3rd pink image,long-press,image,pink,NONE,NONE,3rd,4,4,6,0,2
copy text to the left of the settings,copy,text,NONE,left_of,settings,NONE,2,9,0,3,3
copy gray text,copy,text,gray,NONE,NONE,NONE,2,9,3,0,3
delete purple button,delete,button,purple,NONE,NONE,NONE,3,1,7,0,3
paste the 3rd text,paste,text,NONE,NONE,NONE,3rd,6,9,0,0,2
copy text to the left of the address,copy,text,NONE,left_of,address,NONE,2,9,0,3,3
launch menu to the right of the checkout,open,menu,NONE,right_of,checkout,NONE,5,6,0,5,3
click link,click,link,NONE,NONE,NONE,NONE,1,5,0,0,3
long-press button,long-press,button,NONE,NONE,NONE,NONE,4,1,0,0,3
delete black text to the right of the checkout,delete,text,black,right_of,checkout,NONE,3,9,1,5,3
launch purple menu to the right of the settings,open,menu,purple,right_of,settings,NONE,5,6,7,5,3
press and hold blue text,long-press,text,blue,NONE,NONE,NONE,4,9,2,0,3
long-press icon to the left of the profile,long-press,icon,NONE,left_of,profile,NONE,4,3,0,3,3
tap switch below the settings,tap,switch,NONE,below,settings,NONE,8,7,0,2,3
long-press yellow text to the left of the last item,long-press,text,yellow,left_of,last item,NONE,4,9,10,3,3
delete image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
launch the 3rd red link next to the notifications,open,link,red,next_to,notifications,3rd,5,5,8,4,2
copy the 2nd text above the search,copy,text,NONE,above,search,2nd,2,9,0,1,1
click button,click,button,NONE,NONE,NONE,NONE,1,1,0,0,3
remove text above the payment,delete,text,NONE,above,payment,NONE,3,9,0,1,3
tap on green switch,tap,switch,green,NONE,NONE,NONE,8,7,4,0,3
tap black switch next to the settings,tap,switch,black,next_to,settings,NONE,8,7,1,4,3
copy text next to the search,copy,text,NONE,next_to,search,NONE,2,9,0,4,3
paste orange text,paste,text,orange,NONE,NONE,NONE,6,9,5,0,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
scroll down to menu below the address,scroll,menu,NONE,below,address,NONE,7,6,0,2,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
scroll to text next to the login,scroll,text,NONE,next_to,login,NONE,7,9,0,4,3
press the 3rd orange switch to the left of the payment,click,switch,orange,left_of,payment,3rd,1,7,5,3,2
remove the last yellow image,delete,image,yellow,NONE,NONE,last,3,4,10,0,4
copy black text,copy,text,black,NONE,NONE,NONE,2,9,1,0,3
remove button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
tap button,tap,button,NONE,NONE,NONE,NONE,8,1,0,0,3
open the 1st button next to the search,open,button,NONE,next_to,search,1st,5,1,0,4,0
copy the 2nd orange text,copy,text,orange,NONE,NONE,2nd,2,9,5,0,1
scroll to tab to the right of the first email,scroll,tab,NONE,right_of,first email,NONE,7,8,0,5,3
copy white text next to the profile,copy,text,white,next_to,profile,NONE,2,9,9,4,3
press and hold purple button next to the settings,long-press,button,purple,next_to,settings,NONE,4,1,7,4,3
tap on tab,tap,tab,NONE,NONE,NONE,NONE,8,8,0,0,3
scroll to text,scroll,text,NONE,NONE,NONE,NONE,7,9,0,0,3
scroll to the 3rd tab to the right of the first email,scroll,tab,NONE,right_of,first email,3rd,7,8,0,5,2
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
launch purple menu,open,menu,purple,NONE,NONE,NONE,5,6,7,0,3
paste red text above the help,paste,text,red,above,help,NONE,6,9,8,1,3
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE,8,2,0,0,3
open the 1st button,open,button,NONE,NONE,NONE,1st,5,1,0,0,0
click switch below the help,click,switch,NONE,below,help,NONE,1,7,0,2,3
scroll down to the 2nd menu below the last item,scroll,menu,NONE,below,last item,2nd,7,6,0,2,1
trash text,delete,text,NONE,NONE,NONE,NONE,3,9,0,0,3
open button to the left of the address,open,button,NONE,left_of,address,NONE,5,1,0,3,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
launch button,open,button,NONE,NONE,NONE,NONE,5,1,0,0,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
long-press icon below the profile,long-press,icon,NONE,below,profile,NONE,4,3,0,2,3
copy the 1st text,copy,text,NONE,NONE,NONE,1st,2,9,0,0,0
trash purple image to the left of the search,delete,image,purple,left_of,search,NONE,3,4,7,3,3
scroll to the 2nd tab to the right of the profile,scroll,tab,NONE,right_of,profile,2nd,7,8,0,5,1
trash button to the left of the notifications,delete,button,NONE,left_of,notifications,NONE,3,1,0,3,3
press and hold icon above the wi-fi,long-press,icon,NONE,above,wi-fi,NONE,4,3,0,1,3
open the 3rd green icon next to the help,open,icon,green,next_to,help,3rd,5,3,4,4,2
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd,6,9,0,0,1
paste text below the home,paste,text,NONE,below,home,NONE,6,9,0,2,3
scroll to text,scroll,text,NONE,NONE,NONE,NONE,7,9,0,0,3
copy text to the left of the wi-fi,copy,text,NONE,left_of,wi-fi,NONE,2,9,0,3,3
remove the 3rd button,delete,button,NONE,NONE,NONE,3rd,3,1,0,0,2
long-press the 2nd icon above the settings,long-press,icon,NONE,above,settings,2nd,4,3,0,1,1
copy text above the checkout,copy,text,NONE,above,checkout,NONE,2,9,0,1,3
scroll down to the last tab next to the payment,scroll,tab,NONE,next_to,payment,last,7,8,0,4,4
scroll to pink text to the right of the notifications,scroll,text,pink,right_of,notifications,NONE,7,9,6,5,3
launch yellow icon next to the menu,open,icon,yellow,next_to,menu,NONE,5,3,10,4,3
scroll down to orange menu,scroll,menu,orange,NONE,NONE,NONE,7,6,5,0,3
delete red button above the checkout,delete,button,red,above,checkout,NONE,3,1,8,1,3
scroll down to gray menu,scroll,menu,gray,NONE,NONE,NONE,7,6,3,0,3
press and hold the 2nd button,long-press,button,NONE,NONE,NONE,2nd,4,1,0,0,1
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd,6,9,0,0,1
press the 1st switch below the payment,click,switch,NONE,below,payment,1st,1,7,0,2,0
press checkbox,click,checkbox,NONE,NONE,NONE,NONE,1,2,0,0,3
open blue button next to the checkout,open,button,blue,next_to,checkout,NONE,5,1,2,4,3
long-press the last yellow text to the right of the login,long-press,text,yellow,right_of,login,last,4,9,10,5,4
launch tab above the last item,open,tab,NONE,above,last item,NONE,5,8,0,1,3
press and hold the 2nd text below the address,long-press,text,NONE,below,address,2nd,4,9,0,2,1
trash the 3rd black button to the right of the cart,delete,button,black,right_of,cart,3rd,3,1,1,5,2
open the 3rd icon,open,icon,NONE,NONE,NONE,3rd,5,3,0,0,2
tap the 1st link below the home,tap,link,NONE,below,home,1st,8,5,0,2,0
paste text to the left of the help,paste,text,NONE,left_of,help,NONE,6,9,0,3,3
select blue tab,click,tab,blue,NONE,NONE,NONE,1,8,2,0,3
copy text above the help,copy,text,NONE,above,help,NONE,2,9,0,1,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
tap on tab,tap,tab,NONE,NONE,NONE,NONE,8,8,0,0,3
select button next to the login,click,button,NONE,next_to,login,NONE,1,1,0,4,3
press and hold the 1st icon,long-press,icon,NONE,NONE,NONE,1st,4,3,0,0,0
trash the 2nd image above the search,delete,image,NONE,above,search,2nd,3,4,0,1,1
press and hold the 1st icon,long-press,icon,NONE,NONE,NONE,1st,4,3,0,0,0
press checkbox to the right of the address,click,checkbox,NONE,right_of,address,NONE,1,2,0,5,3
long-press the 1st text below the settings,long-press,text,NONE,below,settings,1st,4,9,0,2,0
copy the 1st text,copy,text,NONE,NONE,NONE,1st,2,9,0,0,0
launch tab,open,tab,NONE,NONE,NONE,NONE,5,8,0,0,3
scroll to menu to the left of the payment,scroll,menu,NONE,left_of,payment,NONE,7,6,0,3,3
tap pink icon,tap,icon,pink,NONE,NONE,NONE,8,3,6,0,3
tap on icon to the left of the cart,tap,icon,NONE,left_of,cart,NONE,8,3,0,3,3
press and hold the 2nd image,long-press,image,NONE,NONE,NONE,2nd,4,4,0,0,1
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
scroll to red text,scroll,text,red,NONE,NONE,NONE,7,9,8,0,3
tap the 1st purple tab above the help,tap,tab,purple,above,help,1st,8,8,7,1,0
scroll to green text,scroll,text,green,NONE,NONE,NONE,7,9,4,0,3
long-press text above the settings,long-press,text,NONE,above,settings,NONE,4,9,0,1,3
copy text next to the login,copy,text,NONE,next_to,login,NONE,2,9,0,4,3
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd,6,9,0,0,1
paste gray text,paste,text,gray,NONE,NONE,NONE,6,9,3,0,3
copy text above the settings,copy,text,NONE,above,settings,NONE,2,9,0,1,3
long-press icon,long-press,icon,NONE,NONE,NONE,NONE,4,3,0,0,3
delete the 3rd button,delete,button,NONE,NONE,NONE,3rd,3,1,0,0,2
click the last link,click,link,NONE,NONE,NONE,last,1,5,0,0,4
open orange tab to the left of the notifications,open,tab,orange,left_of,notifications,NONE,5,8,5,3,3
select link below the login,click,link,NONE,below,login,NONE,1,5,0,2,3
launch link,open,link,NONE,NONE,NONE,NONE,5,5,0,0,3
remove text,delete,text,NONE,NONE,NONE,NONE,3,9,0,0,3
press and hold button above the checkout,long-press,button,NONE,above,checkout,NONE,4,1,0,1,3
copy the 3rd text,copy,text,NONE,NONE,NONE,3rd,2,9,0,0,2
long-press gray icon to the right of the help,long-press,icon,gray,right_of,help,NONE,4,3,3,5,3
paste orange text above the last item,paste,text,orange,above,last item,NONE,6,9,5,1,3
scroll down to black menu to the right of the checkout,scroll,menu,black,right_of,checkout,NONE,7,6,1,5,3
tap on the 3rd pink button below the home,tap,button,pink,below,home,3rd,8,1,6,2,2
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
press switch to the right of the wi-fi,click,switch,NONE,right_of,wi-fi,NONE,1,7,0,5,3
paste the last text next to the address,paste,text,NONE,next_to,address,last,6,9,0,4,4
click purple link,click,link,purple,NONE,NONE,NONE,1,5,7,0,3
tap on tab,tap,tab,NONE,NONE,NONE,NONE,8,8,0,0,3
open icon to the left of the search,open,icon,NONE,left_of,search,NONE,5,3,0,3,3
delete gray button to the left of the payment,delete,button,gray,left_of,payment,NONE,3,1,3,3,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
paste text to the left of the menu,paste,text,NONE,left_of,menu,NONE,6,9,0,3,3
click on the 3rd link to the right of the menu,click,link,NONE,right_of,menu,3rd,1,5,0,5,2
press and hold the last button,long-press,button,NONE,NONE,NONE,last,4,1,0,0,4
long-press white button to the left of the notifications,long-press,button,white,left_of,notifications,NONE,4,1,9,3,3
paste yellow text,paste,text,yellow,NONE,NONE,NONE,6,9,10,0,3
paste text to the left of the home,paste,text,NONE,left_of,home,NONE,6,9,0,3,3
scroll to text,scroll,text,NONE,NONE,NONE,NONE,7,9,0,0,3
open gray link,open,link,gray,NONE,NONE,NONE,5,5,3,0,3
click the 1st black switch next to the help,click,switch,black,next_to,help,1st,1,7,1,4,0
launch the 1st link,open,link,NONE,NONE,NONE,1st,5,5,0,0,0
tap on the 1st tab,tap,tab,NONE,NONE,NONE,1st,8,8,0,0,0
tap on switch,tap,switch,NONE,NONE,NONE,NONE,8,7,0,0,3
paste the last gray text to the left of the profile,paste,text,gray,left_of,profile,last,6,9,3,3,4
press the 1st white text to the left of the menu,click,text,white,left_of,menu,1st,1,9,9,3,0
delete the last black image,delete,image,black,NONE,NONE,last,3,4,1,0,4
copy the 2nd text below the menu,copy,text,NONE,below,menu,2nd,2,9,0,2,1
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
scroll to the 3rd gray menu to the right of the settings,scroll,menu,gray,right_of,settings,3rd,7,6,3,5,2
paste white text below the home,paste,text,white,below,home,NONE,6,9,9,2,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
press and hold the last image,long-press,image,NONE,NONE,NONE,last,4,4,0,0,4
launch link to the right of the notifications,open,link,NONE,right_of,notifications,NONE,5,5,0,5,3
copy black text,copy,text,black,NONE,NONE,NONE,2,9,1,0,3
copy the 2nd red text to the right of the home,copy,text,red,right_of,home,2nd,2,9,8,5,1
copy text to the right of the checkout,copy,text,NONE,right_of,checkout,NONE,2,9,0,5,3
select red button below the search,click,button,red,below,search,NONE,1,1,8,2,3
scroll to yellow menu above the first email,scroll,menu,yellow,above,first email,NONE,7,6,10,1,3
paste black text next to the wi-fi,paste,text,black,next_to,wi-fi,NONE,6,9,1,4,3
delete text,delete,text,NONE,NONE,NONE,NONE,3,9,0,0,3
click on pink image below the login,click,image,pink,below,login,NONE,1,4,6,2,3
long-press icon,long-press,icon,NONE,NONE,NONE,NONE,4,3,0,0,3
launch button,open,button,NONE,NONE,NONE,NONE,5,1,0,0,3
press purple link next to the payment,click,link,purple,next_to,payment,NONE,1,5,7,4,3
trash button to the left of the settings,delete,button,NONE,left_of,settings,NONE,3,1,0,3,3
paste orange text next to the home,paste,text,orange,next_to,home,NONE,6,9,5,4,3
copy text to the left of the cart,copy,text,NONE,left_of,cart,NONE,2,9,0,3,3
copy text above the last item,copy,text,NONE,above,last item,NONE,2,9,0,1,3
click on yellow icon,click,icon,yellow,NONE,NONE,NONE,1,3,10,0,3
open the 3rd tab,open,tab,NONE,NONE,NONE,3rd,5,8,0,0,2
tap on yellow button,tap,button,yellow,NONE,NONE,NONE,8,1,10,0,3
open the 3rd button below the help,open,button,NONE,below,help,3rd,5,1,0,2,2
press the 2nd black button next to the checkout,click,button,black,next_to,checkout,2nd,1,1,1,4,1
tap the 1st orange tab,tap,tab,orange,NONE,NONE,1st,8,8,5,0,0
long-press the 1st image next to the payment,long-press,image,NONE,next_to,payment,1st,4,4,0,4,0
tap on the 3rd tab below the profile,tap,tab,NONE,below,profile,3rd,8,8,0,2,2
paste red text below the wi-fi,paste,text,red,below,wi-fi,NONE,6,9,8,2,3
press and hold the 2nd icon below the home,long-press,icon,NONE,below,home,2nd,4,3,0,2,1
copy text next to the checkout,copy,text,NONE,next_to,checkout,NONE,2,9,0,4,3
launch tab below the search,open,tab,NONE,below,search,NONE,5,8,0,2,3
open button to the right of the cart,open,button,NONE,right_of,cart,NONE,5,1,0,5,3
paste text to the right of the login,paste,text,NONE,right_of,login,NONE,6,9,0,5,3
scroll down to green text,scroll,text,green,NONE,NONE,NONE,7,9,4,0,3
long-press button above the cart,long-press,button,NONE,above,cart,NONE,4,1,0,1,3
press icon below the settings,click,icon,NONE,below,settings,NONE,1,3,0,2,3
click the 2nd image to the right of the search,click,image,NONE,right_of,search,2nd,1,4,0,5,1
trash text below the wi-fi,delete,text,NONE,below,wi-fi,NONE,3,9,0,2,3
tap on tab,tap,tab,NONE,NONE,NONE,NONE,8,8,0,0,3
trash the 2nd red image to the left of the cart,delete,image,red,left_of,cart,2nd,3,4,8,3,1
select switch below the cart,click,switch,NONE,below,cart,NONE,1,7,0,2,3
trash the 1st button,delete,button,NONE,NONE,NONE,1st,3,1,0,0,0
press and hold button to the right of the help,long-press,button,NONE,right_of,help,NONE,4,1,0,5,3
open white tab,open,tab,white,NONE,NONE,NONE,5,8,9,0,3
long-press the 3rd gray text,long-press,text,gray,NONE,NONE,3rd,4,9,3,0,2
press and hold text,long-press,text,NONE,NONE,NONE,NONE,4,9,0,0,3
paste text below the last item,paste,text,NONE,below,last item,NONE,6,9,0,2,3
tap on the 1st orange button to the left of the first email,tap,button,orange,left_of,first email,1st,8,1,5,3,0
press and hold icon,long-press,icon,NONE,NONE,NONE,NONE,4,3,0,0,3
open button next to the notifications,open,button,NONE,next_to,notifications,NONE,5,1,0,4,3
trash text to the left of the search,delete,text,NONE,left_of,search,NONE,3,9,0,3,3
scroll down to the 2nd tab above the menu,scroll,tab,NONE,above,menu,2nd,7,8,0,1,1
press and hold text to the right of the last item,long-press,text,NONE,right_of,last item,NONE,4,9,0,5,3
copy the 1st text above the last item,copy,text,NONE,above,last item,1st,2,9,0,1,0
long-press the last pink button next to the home,long-press,button,pink,next_to,home,last,4,1,6,4,4
tap on the 1st black switch,tap,switch,black,NONE,NONE,1st,8,7,1,0,0
scroll to menu to the left of the wi-fi,scroll,menu,NONE,left_of,wi-fi,NONE,7,6,0,3,3
tap icon next to the help,tap,icon,NONE,next_to,help,NONE,8,3,0,4,3
select checkbox next to the first email,click,checkbox,NONE,next_to,first email,NONE,1,2,0,4,3
press and hold green button below the profile,long-press,button,green,below,profile,NONE,4,1,4,2,3
remove image to the left of the address,delete,image,NONE,left_of,address,NONE,3,4,0,3,3
scroll down to the last green text,scroll,text,green,NONE,NONE,last,7,9,4,0,4
long-press image below the settings,long-press,image,NONE,below,settings,NONE,4,4,0,2,3
click on the 3rd image,click,image,NONE,NONE,NONE,3rd,1,4,0,0,2
press and hold the last icon below the wi-fi,long-press,icon,NONE,below,wi-fi,last,4,3,0,2,4
press and hold image to the right of the profile,long-press,image,NONE,right_of,profile,NONE,4,4,0,5,3
press button below the menu,click,button,NONE,below,menu,NONE,1,1,0,2,3
tap on checkbox next to the payment,tap,checkbox,NONE,next_to,payment,NONE,8,2,0,4,3
tap on the last blue switch,tap,switch,blue,NONE,NONE,last,8,7,2,0,4
click on the 1st checkbox,click,checkbox,NONE,NONE,NONE,1st,1,2,0,0,0
tap red icon,tap,icon,red,NONE,NONE,NONE,8,3,8,0,3
trash red image,delete,image,red,NONE,NONE,NONE,3,4,8,0,3
trash black button above the first email,delete,button,black,above,first email,NONE,3,1,1,1,3
paste text next to the last item,paste,text,NONE,next_to,last item,NONE,6,9,0,4,3
delete yellow image,delete,image,yellow,NONE,NONE,NONE,3,4,10,0,3
copy blue text to the left of the wi-fi,copy,text,blue,left_of,wi-fi,NONE,2,9,2,3,3
scroll down to menu to the left of the home,scroll,menu,NONE,left_of,home,NONE,7,6,0,3,3
launch purple button,open,button,purple,NONE,NONE,NONE,5,1,7,0,3
copy text next to the cart,copy,text,NONE,next_to,cart,NONE,2,9,0,4,3
copy white text below the login,copy,text,white,below,login,NONE,2,9,9,2,3
remove yellow text,delete,text,yellow,NONE,NONE,NONE,3,9,10,0,3
scroll to pink text below the notifications,scroll,text,pink,below,notifications,NONE,7,9,6,2,3
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE,7,8,0,0,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
long-press button to the left of the profile,long-press,button,NONE,left_of,profile,NONE,4,1,0,3,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
launch link above the cart,open,link,NONE,above,cart,NONE,5,5,0,1,3
delete text to the right of the cart,delete,text,NONE,right_of,cart,NONE,3,9,0,5,3
tap on the 3rd checkbox,tap,checkbox,NONE,NONE,NONE,3rd,8,2,0,0,2
tap on icon,tap,icon,NONE,NONE,NONE,NONE,8,3,0,0,3
copy the 3rd text below the help,copy,text,NONE,below,help,3rd,2,9,0,2,2
paste text above the notifications,paste,text,NONE,above,notifications,NONE,6,9,0,1,3
press the last text next to the settings,click,text,NONE,next_to,settings,last,1,9,0,4,4
press image,click,image,NONE,NONE,NONE,NONE,1,4,0,0,3
long-press image above the checkout,long-press,image,NONE,above,checkout,NONE,4,4,0,1,3
launch menu to the left of the help,open,menu,NONE,left_of,help,NONE,5,6,0,3,3
tap on yellow tab next to the help,tap,tab,yellow,next_to,help,NONE,8,8,10,4,3
paste the 1st black text to the right of the wi-fi,paste,text,black,right_of,wi-fi,1st,6,9,1,5,0
press and hold button to the right of the first email,long-press,button,NONE,right_of,first email,NONE,4,1,0,5,3
scroll to orange tab below the login,scroll,tab,orange,below,login,NONE,7,8,5,2,3
click on text to the right of the last item,click,text,NONE,right_of,last item,NONE,1,9,0,5,3
copy purple text,copy,text,purple,NONE,NONE,NONE,2,9,7,0,3
launch icon to the left of the checkout,open,icon,NONE,left_of,checkout,NONE,5,3,0,3,3
tap on the 2nd switch below the help,tap,switch,NONE,below,help,2nd,8,7,0,2,1
scroll down to the 1st menu,scroll,menu,NONE,NONE,NONE,1st,7,6,0,0,0
scroll to tab to the left of the menu,scroll,tab,NONE,left_of,menu,NONE,7,8,0,3,3
scroll down to tab next to the first email,scroll,tab,NONE,next_to,first email,NONE,7,8,0,4,3
click on switch next to the help,click,switch,NONE,next_to,help,NONE,1,7,0,4,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
copy the 3rd white text above the menu,copy,text,white,above,menu,3rd,2,9,9,1,2
paste red text below the first email,paste,text,red,below,first email,NONE,6,9,8,2,3
paste the 3rd purple text,paste,text,purple,NONE,NONE,3rd,6,9,7,0,2
scroll to gray menu to the right of the address,scroll,menu,gray,right_of,address,NONE,7,6,3,5,3
launch icon next to the cart,open,icon,NONE,next_to,cart,NONE,5,3,0,4,3
copy the last text above the home,copy,text,NONE,above,home,last,2,9,0,1,4
press and hold button,long-press,button,NONE,NONE,NONE,NONE,4,1,0,0,3
open button below the first email,open,button,NONE,below,first email,NONE,5,1,0,2,3
scroll down to white tab to the left of the payment,scroll,tab,white,left_of,payment,NONE,7,8,9,3,3
press and hold image,long-press,image,NONE,NONE,NONE,NONE,4,4,0,0,3
copy text next to the first email,copy,text,NONE,next_to,first email,NONE,2,9,0,4,3
delete image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
click the last checkbox,click,checkbox,NONE,NONE,NONE,last,1,2,0,0,4
tap on green button,tap,button,green,NONE,NONE,NONE,8,1,4,0,3
remove button to the right of the checkout,delete,button,NONE,right_of,checkout,NONE,3,1,0,5,3
launch blue button above the address,open,button,blue,above,address,NONE,5,1,2,1,3
trash red image above the wi-fi,delete,image,red,above,wi-fi,NONE,3,4,8,1,3
